City,Perfecture
Kalamata,Messinias
Nikiti,Chalkidikis
Xanthi,Xanthis
Iraklio,Irakliou
Agios Nikolaos,Lasithiou
Chania,Chanion
Rethymno,Rethymnis
Naxos,Kykladon
Mykonos,Kykladon
Kos,Dodekanisou
Korinthos,Korinthias
Loutraki,Korinthias
Tolo,Argolidas
Argos,Argolidas
Tripoli,Arkadias
Sparti,Lakonias
Argostoli,Kefallinias
Zakynthos,Zakynthou
Agrinio,Aitoloakarnanias
Delfi,Fokidas
Eretria,Eyvias
Chalkida,Eyvias
Lamia,Fthiotidas
Skiathos,Magnisias
Skopelos,Magnisias
Volos,Magnisias
Volos,Magnisias
Volos,Magnisias
Trikala,Trikalon
Karditsa,Eyrytanias
Karditsa,Karditsas
Ioannina,Ioanninon
Ioannina,Ioanninon
Igoumenitsa,Thesprotias
Preveza,Prevezas
Kerkyra,Kerkyras
Kozani,Kozanis
Kastoria,Kastorias
Florina,Florinas
Giannitsa,Pellis
Veria,Imathias
Katerini,Pierias
Kilkis,Kilkis
Neos Marmaras,Chalkidikis
Kavala,Kavalas
Drama,Dramas
Alexandroupoli,Evrou
Komotini,Rodopis
Malia,Irakliou
Ierapetra,Lasithiou
Sitia,Lasithiou
Platanias,Chanion
Chania,Chanion
Agia Galini,Rethymnis
Mytilini,Lesvou
Chios,Chiou
Samos,Samou
Pythagorio,Samou
Ios,Kykladon
Syros,Kykladon
Tinos,Kykladon
Paros,Kykladon
Ia,Kykladon
Rodos,Dodekanisou
Xylokastro,Korinthias
Nemea,Argolidas
Nemea,Korinthias
Monemvasia,Lakonias
Pylos,Messinias
Petalidi,Messinias
Kyparissia,Messinias
Aigio,Achaϊas
Patra,Achaϊas
Patra,Achaϊas
Vartholomio,Ilias
Zacharo,Ilias
Pyrgos,Ilias
Lixouri,Kefallinias
Arachova,Viotias
Schimatari,Viotias
Thiva,Viotias
Thiva,Eyvias
Skyros,Eyvias
Elassona,Larisas
Metsovo,Ioanninon
Arta,Artas
Parga,Prevezas
Parga,Thesprotias
Ptolemaida,Florinas
Ptolemaida,Kozanis
Grevena,Grevenon
Thessaloniki,Kilkis
Edessa,Pellis
Skydra,Pellis
Alexandria,Imathias
Nea Kallikratia,Chalkidikis
Nea Moudania,Chalkidikis
Nea Peramos,Kavalas
Orestiada,Evrou
Limenas Chersonisou,Irakliou
Gazi,Irakliou
Chania,Chanion
Myrina,Lesvou
Sifnos,Kykladon
Amorgos,Kykladon
Anafi,Kykladon
Folegandros,Kykladon
Andros,Kykladon
Adamas,Kykladon
Symi,Dodekanisou
Karpathos,Dodekanisou
Perigiali,Korinthias
Kiato,Korinthias
Ermioni,Argolidas
Drepano,Argolidas
Paralio Astros,Arkadias
Areopoli,Lakonias
Gythio,Lakonias
Methoni,Messinias
Kardamyli,Messinias
Kalavryta,Achaϊas
Kato Achaia,Achaϊas
Amaliada,Ilias
Sami,Kefallinias
Fiskardo,Kefallinias
Livadia,Viotias
Amfissa,Fokidas
Karpenisi,Eyrytanias
Zagora,Magnisias
Portaria,Magnisias
Almyros,Magnisias
Larisa,Larisas
Tsepelovo,Ioanninon
Konitsa,Ioanninon
Siatista,Kozanis
Pella,Pellis
Aridaia,Pellis
Naousa,Imathias
Platamonas,Pierias
Serres,Serron
Polygyros,Chalkidikis
Limenaria,Kavalas
Kavala,Kavalas
Archanes,Irakliou
Vamos,Chanion
Kissamos,Chanion
Petra,Lesvou
Antiparos,Kykladon
Thira,Kykladon
Milos,Kykladon
Lipsi,Dodekanisou
Lindos,Dodekanisou
Kalymnos,Dodekanisou
Patmos,Dodekanisou
Nea Kios,Argolidas
Dimitsana,Arkadias
Vytina,Arkadias
Megalopoli,Arkadias
Leonidi,Arkadias
Koroni,Messinias
Kampos,Messinias
Messini,Messinias
Filiatra,Messinias
Akrata,Achaϊas
Klitoria,Achaϊas
Patra,Achaϊas
Lechaina,Ilias
Poros,Kefallinias
Ithaki,Kefallinias
Ano Chora,Aitoloakarnanias
Inofyta,Viotias
Orchomenos,Viotias
Galaxidi,Fokidas
Kymi,Eyvias
Limni,Eyvias
Orei,Eyvias
Psachna,Eyvias
Aliveri,Eyvias
Nea Artaki,Eyvias
Amfiklia,Fthiotidas
Agios Konstantinos,Fthiotidas
Larymna,Fthiotidas
Atalanti,Fthiotidas
Megalo Chorio,Eyrytanias
Argalasti,Magnisias
Milies,Magnisias
Milina,Magnisias
Agria,Magnisias
Farsala,Larisas
Kalampaka,Trikalon
Agnanta,Ioanninon
Agnanta,Artas
Gaios,Kerkyras
Mesopotamia,Kastorias
Argos Orestiko,Kozanis
Argos Orestiko,Kastorias
Agios Germanos,Florinas
Koufalia,Pellis
Krya Vrysi,Pellis
Meliki,Imathias
